2,Count,Percentage,"Percentage[0,1]"
Unavailable channel,0,0,0
"Spam, deceptive practices",140,17.74397972,0.1774397972
(C) infringment,22,2.78833967,0.0278833967
Non existant channel,22,2.78833967,0.0278833967
Violation of Youtube Terms of Service,30,3.802281369,0.03802281369
Harass bully or threaten,1,0.1267427123,0.001267427123
Violation of Community Guidelines,1,0.1267427123,0.001267427123
Brand accounts not supported,2,0.2534854246,0.002534854246
Violation of Google Terms of Service,4,0.5069708492,0.005069708492
Account linked to acount with (C)  infringement,2,0.2534854246,0.002534854246
Violation policy on nudity or sexual content,1,0.1267427123,0.001267427123
,225,28.51711027,0.2851711027